Constituency,Number of Electors,Total Valid Votes,Total Rejected Votes,No Vote Walkover,Rejected Votes,PAP,WP,PSP,SDP,RDU,SDA,SPP,NSP,PAR,PPP,SUP,IndependentRM,IndependentMB,Incumbent,Type
ALJUNIED GRC,144298,132725,11573,0,1341,0.40290,0.59710,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,WP,2
ANG MO KIO GRC,161499,146365,15134,0,4391,0.78950,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.10200,0.10850,0.00000,0.00000,PAP,2
BUKIT GOMBAK SMC,26427,23672,2755,0,298,0.75810,0.00000,0.24190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
BUKIT PANJANG SMC,33596,31203,2393,0,350,0.61380,0.00000,0.00000,0.38620,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
BISHAN-TOA PAYOH GRC,98708,88399,10309,0,2084,0.75180,0.00000,0.00000,0.00000,0.00000,0.00000,0.24820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
CHUA CHU KANG GRC,93522,86702,6820,0,1189,0.63600,0.00000,0.36400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
EAST COAST GRC,151073,136393,14680,0,1565,0.58730,0.41270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
HOUGANG SMC,29464,27283,2181,0,296,0.37850,0.62150,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,WP,1
HOLLAND-BUKIT TIMAH GRC,123225,109698,13527,0,2687,0.79250,0.00000,0.00000,0.00000,0.20750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
JALAN BESAR GRC,106342,93869,12473,0,3331,0.75210,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.24790,0.00000,0.00000,0.00000,0.00000,PAP,2
JURONG EAST-BUKIT BATOK GRC,142753,130034,12719,0,3193,0.76670,0.00000,0.00000,0.00000,0.23330,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
JALAN KAYU SMC,29628,27483,2145,0,376,0.51470,0.48530,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
JURONG CENTRAL SMC,29667,27260,2407,0,531,0.80510,0.00000,0.00000,0.00000,0.19490,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
KEBUN BARU SMC,22263,20129,2134,0,325,0.68490,0.00000,0.31510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
MOUNTBATTEN SMC,22843,19745,3098,0,473,0.63820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.36180,PAP,1
MARINE PARADE-BRADDELL HEIGHTS GRC,0,0,0,131820,0,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
MARYMOUNT SMC,23275,21141,2134,0,251,0.70730,0.00000,0.29270,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
MARSILING-YEW TEE GRC,119559,110424,9135,0,1664,0.73480,0.00000,0.00000,0.26520,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
NEE SOON GRC,151874,139512,12362,0,3083,0.73810,0.00000,0.00000,0.00000,0.26190,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
PASIR RIS-CHANGI GRC,100957,90381,10576,0,2483,0.67680,0.00000,0.00000,0.00000,0.00000,0.32320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
PUNGGOL GRC,123820,115534,8286,0,822,0.55170,0.44830,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
PIONEER SMC,25207,23470,1737,0,232,0.65450,0.00000,0.34550,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
POTONG PASIR SMC,30971,27872,3099,0,544,0.69200,0.00000,0.00000,0.00000,0.00000,0.00000,0.22460,0.00000,0.08330,0.00000,0.00000,0.00000,0.00000,PAP,1
QUEENSTOWN SMC,28911,25873,3038,0,704,0.81130,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18870,0.00000,0.00000,0.00000,0.00000,PAP,1
RADIN MAS SMC,25567,22937,2630,0,444,0.69120,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.07360,0.00000,0.00000,0.23520,0.00000,PAP,1
SEMBAWANG GRC,134157,124194,9963,0,1846,0.67760,0.00000,0.00000,0.29920,0.00000,0.00000,0.00000,0.02320,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
SEMBAWANG WEST SMC,24206,22563,1643,0,269,0.53180,0.00000,0.00000,0.46820,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
SENGKANG GRC,126808,118256,8552,0,927,0.43680,0.56320,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,WP,2
TAMPINES CHANGKAT SMC,23847,22217,1630,0,224,0.56160,0.43840,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,1
TAMPINES GRC,148119,137631,10488,0,1261,0.52020,0.47370,0.00000,0.00000,0.00000,0.00000,0.00000,0.00180,0.00000,0.00430,0.00000,0.00000,0.00000,PAP,2
TANJONG PAGAR GRC,140194,122093,18101,0,3651,0.81020,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.18980,0.00000,0.00000,0.00000,0.00000,PAP,2
WEST COAST-JURONG WEST GRC,158836,147665,11171,0,1437,0.59990,0.00000,0.40010,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,PAP,2
YIO CHU KANG SMC,25410,22942,2468,0,557,0.78750,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.21250,0.00000,0.00000,0.00000,0.00000,PAP,1
